sustancia_retc,cas,umbral_mpu_kg_anual,umbral_emision_transferencia_kg_anual,fuente_normativa,aplicable_columna_umbral,notas
DDT,50-29-3,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Dibenz[a,j]acridina",224-42-0,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Dibenzo[a,h]antraceno",53-70-3,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dibutilftalato,84-74-2,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Diclorodifenildicloroetileno (DDE),72-55-9,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dicromato de potasio,7778-50-9,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dieldrin,60-57-1,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Difetialona,104653-34-1,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Difosfuro de tricinc,1314-84-7,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Diisocianato de difenilmetano polimérico,9016-87-9,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Diisocianato de isoforona,4098-71-9,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dinitrotolueno (mezcla de isómeros),25321-14-6,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dioxano,123-91-1,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dióxido de cloro,10049-04-4,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dióxido de torio,1314-20-1,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Dioxinas,,Cualquier cantidad superior a cero,Cualquier cantidad superior a cero,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
